[ 2017-02-13T18:53:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:53:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-13T18:53:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:53:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:53:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:53:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:53:29+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-02-13T18:53:29+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-13T18:53:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:53:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-13T18:53:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:53:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:53:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-13T18:53:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T18:53:34+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.001953s ]
[ 2017-02-13T18:53:34+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-13T18:53:37+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:53:37+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-13T18:53:37+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T18:53:37+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:53:37+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
