[ 2017-08-20T21:37:05+08:00 ] / | ERR: (ThinkException) Access denied for user 'san'@'localhost' (using password: YES)
[ 2017-08-20T21:37:03+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T21:37:03+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2017-08-20T21:37:03+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.041002s ]
[ 2017-08-20T21:37:03+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with Action::ajaxReturn($data, $info = '', $status = 1, $type = '') IndexAction.class.php 第 1108 行.
[ 2017-08-20T21:37:04+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [2] mysql_connect(): Access denied for user 'san'@'localhost' (using password: YES) DbMysql.class.php 第 67 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-08-20T21:37:05+08:00 ] / | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
