[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | INFO: Tag[ route_check ] --START--
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-08-20T22:50:50+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.024001s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SELECT `WebsiteUrl` FROM `pay_userapiinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SELECT `CompanyName` FROM `pay_userapiinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SELECT `WebsiteName` FROM `pay_userapiinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SELECT `IdentificationFront` FROM `pay_userapiinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SELECT `IdentificationReverse` FROM `pay_userapiinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: SELECT `BusinessLicense` FROM `pay_userapiinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | SQL: UPDATE `pay_userapiinformation` SET `Zt`=1 WHERE UserID=368 [ RunTime:0.000000s ]
[ 2017-08-20T22:50:51+08:00 ] /User_Index_shjksh.html | INFO: Tag[ view_template ] --START--
