[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | INFO: Tag[ route_check ] --START--
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-08-20T23:02:36+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T23:02:37+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.012000s ]
[ 2017-08-20T23:02:37+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T23:02:37+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T23:02:37+08:00 ] /SjtAdminSjt_ShangHu_Userlx.html | SQL: UPDATE `pay_user` SET `UserType`='5' WHERE id=369 [ RunTime:0.000000s ]
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | INFO: Tag[ route_check ] --START--
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-08-20T23:02:42+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T23:02:43+08:00 ] /SjtAdminSjt_ShangHu_listuser.html | SQL: SHOW COLUMNS FROM `pay_listuser` [ RunTime:0.028002s ]
