[ 2017-08-20T23:32:14+08:00 ] /User | INFO: Tag[ route_check ] --START--
[ 2017-08-20T23:32:14+08:00 ] /User | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2017-08-20T23:32:14+08:00 ] /User | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2017-08-20T23:32:14+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T23:32:14+08:00 ] /User | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T23:32:14+08:00 ] /User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2017-08-20T23:32:14+08:00 ] /User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2017-08-20T23:32:14+08:00 ] /User | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_money` [ RunTime:0.022001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT `Money` FROM `pay_money` WHERE UserID=369 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userbasicinformation` [ RunTime:0.014001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT `Compellation` FROM `pay_userbasicinformation` WHERE UserId=369 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.011001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT `Zt` FROM `pay_userapiinformation` WHERE UserId=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tongzhi` [ RunTime:0.010001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT * FROM `pay_tongzhi` WHERE UserID=369 ORDER BY id desc  [ RunTime:0.000000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.010000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_bank` WHERE UserID=369 and banktype = 0  LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT `BankName` FROM `pay_bank` WHERE UserID=369 and moren = 1 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.010001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT * FROM `pay_order` WHERE (UserID=369 or (Username = '369' and typepay = 5) ) and Zt = 1 ORDER BY TradeDate desc LIMIT 0,10   [ RunTime:0.002000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_order` WHERE UserID = '369' and DATEDIFF('2017-08-20',TradeDate) = 0 and zt=1 LIMIT 1   [ RunTime:0.002000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT SUM(trademoney) AS tp_sum FROM `pay_order` WHERE UserID = '369' and DATEDIFF('2017-08-20',TradeDate) = 0 and zt=1 LIMIT 1   [ RunTime:0.002000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.009001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.010001s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_tklist` WHERE wt = 0 and UserID=369 and ZT = 0 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT SUM(money) AS tp_sum FROM `pay_tklist` WHERE wt = 0 and UserID=369 and ZT = 2 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_wttklist` [ RunTime:0.010000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_wttklist` WHERE UserID=369 and ZT = 0 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T23:32:15+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_wttklist` WHERE UserID=369 and ZT = 2 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | INFO: Tag[ view_template ] --START--
[ 2017-08-20T23:32:15+08:00 ] /User | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2017-08-20T23:32:15+08:00 ] /User | INFO: Tag[ view_parse ] --START--
[ 2017-08-20T23:32:15+08:00 ] /User | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
