[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Tag[ route_check ] --START--
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Tag[ app_begin ] --START--
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-21T00:12:44+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | SQL: SHOW COLUMNS FROM `pay_wttklist` [ RunTime:0.020002s ]
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | SQL: SELECT COUNT(*) AS tp_count FROM `pay_wttklist` WHERE T=1 and DATEDIFF('2017-08-20',sq_date) <= 0 and DATEDIFF('2017-08-20',sq_date) >= 0 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | SQL: SELECT * FROM `pay_wttklist` WHERE T=1 and DATEDIFF('2017-08-20',sq_date) <= 0 and DATEDIFF('2017-08-20',sq_date) >= 0 ORDER BY sq_date desc LIMIT 0,10   [ RunTime:0.001000s ]
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Tag[ view_template ] --START--
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2017-08-21T00:12:45+08:00 ] /SjtAdminSjt_Tikuan_wttkjl_T_1.html?sq_date=2017-08-20&sq_date_js=2017-08-20 | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
