[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | INFO: Tag[ route_check ] --START--
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-08-21T00:48:03+08:00 ] /User_Index_tktx.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.026002s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `BankName` FROM `pay_bank` WHERE UserID=369 and moren = 1 LIMIT 1   [ RunTime:0.002000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `BankAccountNumber` FROM `pay_bank` WHERE UserID=369 and moren = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `id` FROM `pay_bank` WHERE UserID=369 and banktype=0 and moren = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT * FROM `pay_bank` WHERE UserID=369 and banktype=0  [ RunTime:0.002000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SHOW COLUMNS FROM `pay_money` [ RunTime:0.018001s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `Money` FROM `pay_money` WHERE UserID=369 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SHOW COLUMNS FROM `pay_usersafetyinformation` [ RunTime:0.012001s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT `t0` FROM `pay_usersafetyinformation` WHERE UserID=369 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SHOW COLUMNS FROM `pay_tkconfig` [ RunTime:0.012001s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | SQL: SELECT * FROM `pay_tkconfig` WHERE UserID=369  [ RunTime:0.000000s ]
[ 2017-08-21T00:48:04+08:00 ] /User_Index_tktx.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
