[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000976s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.014648s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014648s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-11T01:13:32+08:00 ] /index_login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000976s ]
