[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | ERR: (ThinkException) 非法操作path.htaccess
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | INFO: Tag[ route_check ] --START--
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:17+08:00 ] /notexist_path.htaccess | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | ERR: (ThinkException) 非法操作path.404notfound
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | INFO: Tag[ route_check ] --START--
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:18+08:00 ] /notexist_path.404notfound | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | ERR: (ThinkException) 非法操作not
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | INFO: Tag[ route_check ] --START--
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:19+08:00 ] /path_not_exist.404notfound | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
