[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ route_check ] --START--
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_template ] --START--
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_end ] --START--
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /index_developer.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ route_check ] --START--
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ app_begin ] --START--
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='js/jquery-1.9.1.js' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ view_template ] --START--
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ view_parse ] --START--
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-24T20:57:16+08:00 ] /js/jquery-1.9.1.js?v=1487941036 | INFO: Tag[ view_filter ] --START--
