[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | INFO: Tag[ route_check ] --START--
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | INFO: Run CheckRoute Behavior [ RunTime:0.001093s ]
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001185s ]
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | INFO: Tag[ app_begin ] --START--
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000815s ]
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000878s ]
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | NOTIC: [2048] Declaration of IndexAction::success() should be compatible with that of Action::success() IndexAction.class.php 第 254 行.
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-03-07T14:17:08+08:00 ] /Payapi_Index_Pay.html?P_UserId=10297&P_OrderId=36378120170307141708&P_CardId=admin&P_CardPass=&P_FaceValue=0.01&P_ChannelId=&P_Subject=VIP%E6%9C%8D%E5%8A%A1&P_Price=&P_Quantity=&P_Description=%E6%B5%8B%E8%AF%95&P_Notic=admin&P_Result_url=http://pay.web.com/PayApi/Notify_Url.php&P_Notify_url=http://pay.web.com/PayApi/Result_url.php&P_PostKey=a874f15c0d2d209300b7d40f64fc1b43 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
